"Date","Match","Result","Score","Competition"
"31 Jul 1971","Argentina v Brazil","D","2-2","Copa Julio Roca"
"30 Jun 1974","Argentina v Brazil","L","1-2","FIFA World Cup"
"06 Aug 1975","Brazil v Argentina","L","2-1","Copa America"
"16 Aug 1975","Argentina v Brazil","L","0-1","Copa America"
"27 Feb 1976","Argentina v Brazil","L","1-2","Copa del Atlantico"
"19 May 1976","Brazil v Argentina","L","2-0","Copa del Atlantico"
"18 Jun 1978","Argentina v Brazil","D","0-0","FIFA World Cup"
"02 Aug 1979","Brazil v Argentina","L","2-1","Copa America"
"23 Aug 1979","Argentina v Brazil","D","2-2","Copa America"
"04 Jan 1981","Argentina v Brazil","D","1-1","Gold Cup"
"02 Jul 1982","Brazil v Argentina","L","3-1","FIFA World Cup"
"24 Aug 1983","Argentina v Brazil","W","1-0","Copa America"
"14 Sep 1983","Brazil v Argentina","D","0-0","Copa America"
"17 Jun 1984","Brazil v Argentina","D","0-0","International Friendly"
"05 May 1985","Brazil v Argentina","L","2-1","International Friendly"
"10 Jul 1988","Argentina v Brazil","D","0-0","Bicentennial Gold Cup"
"12 Jul 1989","Brazil v Argentina","L","2-0","Copa America"
"24 Jun 1990","Brazil v Argentina","W","0-1","FIFA World Cup"
"27 Mar 1991","Argentina v Brazil","D","3-3","International Friendly"
"27 Jun 1991","Brazil v Argentina","D","1-1","International Friendly"
"17 Jul 1991","Brazil v Argentina","W","2-3","Copa America"
"18 Feb 1993","Argentina v Brazil","D","1-1","International Friendly"
"27 Jun 1993","Brazil v Argentina","W","1-1","Copa America"
"24 Mar 1994","Brazil v Argentina","L","2-0","International Friendly"
"17 Jul 1995","Brazil v Argentina","D","2-2","Copa America"
"08 Nov 1995","Argentina v Brazil","L","0-1","International Friendly"
"29 Apr 1998","Brazil v Argentina","W","0-1","International Friendly"
"11 Jul 1999","Brazil v Argentina","L","2-1","Copa America"
"04 Sep 1999","Argentina v Brazil","W","2-0","International Friendly"
"07 Sep 1999","Brazil v Argentina","L","4-2","International Friendly"
"26 Jul 2000","Brazil v Argentina","L","3-1","FIFA World Cup"
"05 Sep 2001","Argentina v Brazil","W","2-1","FIFA World Cup"
"02 Jun 2004","Brazil v Argentina","L","3-1","FIFA World Cup"
"25 Jul 2004","Argentina v Brazil","L","2-2","Copa America"
"08 Jun 2005","Argentina v Brazil","W","3-1","FIFA World Cup"
"29 Jun 2005","Brazil v Argentina","L","4-1","FIFA Confederations Cup"
"03 Sep 2006","Brazil v Argentina","L","3-0","International Friendly"
"15 Jul 2007","Argentina v Brazil","L","0-3","Copa America"
"18 Jun 2008","Brazil v Argentina","D","0-0","FIFA World Cup"
"05 Sep 2009","Argentina v Brazil","L","1-3","FIFA World Cup"
"17 Nov 2010","Argentina v Brazil","W","1-0","International Friendly"
"14 Sep 2011","Argentina v Brazil","D","0-0","Superclasico de las Americas"
"28 Sep 2011","Brazil v Argentina","L","2-0","Superclasico de las Americas"
"09 Jun 2012","Argentina v Brazil","W","4-3","International Friendly"
"20 Sep 2012","Brazil v Argentina","L","2-1","Superclasico de las Americas"
"21 Nov 2012","Argentina v Brazil","W","2-1","Superclasico de las Americas"
"11 Oct 2014","Brazil v Argentina","L","2-0","International Friendly"
"13 Nov 2015","Argentina v Brazil","D","1-1","FIFA World Cup"
"30 May 1962","Argentina v Bulgaria","W","1-0","FIFA World Cup"
"29 Mar 1978","Argentina v Bulgaria","W","3-1","International Friendly"
"25 Apr 1979","Argentina v Bulgaria","W","2-1","International Friendly"
"09 Oct 1980","Argentina v Bulgaria","W","2-0","International Friendly"
"05 May 1982","Argentina v Bulgaria","W","2-1","International Friendly"
"10 Jun 1986","Argentina v Bulgaria","W","2-0","FIFA World Cup"
"30 Jun 1994","Argentina v Bulgaria","L","0-2","FIFA World Cup"
"14 Feb 1995","Argentina v Bulgaria","W","4-1","International Friendly"
"10 Mar 1998","Argentina v Bulgaria","W","2-0","International Friendly"
"08 Jun 1990","Argentina v Cameroon","L","0-1","FIFA World Cup"
"27 Mar 2002","Cameroon v Argentina","D","2-2","International Friendly"
"24 May 2010","Argentina v Canada","W","5-0","International Friendly"
"20 Jan 1984","China PR v Argentina","L","1-0","Nehru Cup"
"07 Feb 1945","Argentina v Colombia","W","9-1","Copa America"
"18 Dec 1947","Argentina v Colombia","W","6-0","Copa America"
"13 Mar 1957","Argentina v Colombia","W","8-2","Copa America"
"10 Mar 1963","Argentina v Colombia","W","4-2","Copa America"
"22 Jun 1972","Argentina v Colombia","W","4-1","Independence"
"24 Aug 1984","Colombia v Argentina","L","1-0","International Friendly"
"02 Jun 1985","Colombia v Argentina","W","1-3","FIFA World Cup"
"16 Jun 1985","Argentina v Colombia","W","1-0","FIFA World Cup"
"24 Nov 1986","Argentina v Colombia","W","3-1","South American Games"
"06 Dec 1986","Argentina v Colombia","W","2-0","South American Games"
"11 Jul 1987","Argentina v Colombia","L","1-2","Copa America"
"09 Mar 1989","Colombia v Argentina","L","1-0","International Friendly"
"21 Jul 1991","Argentina v Colombia","W","2-1","Copa America"
"23 Jun 1993","Argentina v Colombia","D","1-1","Copa America"
"01 Jul 1993","Argentina v Colombia","W","0-0","Copa America"
"15 Aug 1993","Colombia v Argentina","L","2-1","FIFA World Cup"
"05 Sep 1993","Argentina v Colombia","L","0-5","FIFA World Cup"
"11 Oct 1995","Argentina v Colombia","D","0-0","International Friendly"
"12 Feb 1997","Colombia v Argentina","W","0-1","FIFA World Cup"
"16 Nov 1997","Argentina v Colombia","D","1-1","FIFA World Cup"
"04 Jul 1999","Argentina v Colombia","L","0-3","Copa America"
"13 Oct 1999","Argentina v Colombia","W","2-1","International Friendly"
"29 Jun 2000","Colombia v Argentina","W","1-3","FIFA World Cup"
"03 Jun 2001","Argentina v Colombia","W","3-0","FIFA World Cup"
"18 Nov 2003","Colombia v Argentina","D","1-1","FIFA World Cup"
"27 Jun 2004","Argentina v Colombia","L","0-2","International Friendly"
"20 Jul 2004","Argentina v Colombia","W","3-0","Copa America"
"30 Mar 2005","Argentina v Colombia","W","1-0","FIFA World Cup"
"02 Jul 2007","Argentina v Colombia","W","4-2","Copa America"
"20 Nov 2007","Colombia v Argentina","L","2-1","FIFA World Cup"
"06 Jun 2009","Argentina v Colombia","W","1-0","FIFA World Cup"
"06 Jul 2011","Argentina v Colombia","D","0-0","Copa America"
"15 Nov 2011","Colombia v Argentina","W","1-2","FIFA World Cup"
"07 Jun 2013","Argentina v Colombia","D","0-0","FIFA World Cup"
"26 Jun 2015","Argentina v Colombia","W","0-0","Copa America"
"17 Nov 2015","Colombia v Argentina","W","0-1","FIFA World Cup"
"06 Mar 1956","Argentina v Costa Rica","W","4-3","Panamerican Championship"
"08 Mar 1960","Argentina v Costa Rica","D","0-0","Panamerican Championship"
"15 Mar 1960","Argentina v Costa Rica","W","2-0","Panamerican Championship"
"26 Jan 2010","Argentina v Costa Rica","W","3-2","International Friendly"
"29 Mar 2011","Costa Rica v Argentina","D","0-0","International Friendly"
"11 Jul 2011","Argentina v Costa Rica","W","3-0","Copa America"
"19 Aug 1956","Argentina v Czechoslovakia","W","1-0","International Friendly"
"15 Jun 1958","Czechoslovakia v Argentina","L","6-1","FIFA World Cup"
"19 Jun 1961","Czechoslovakia v Argentina","D","3-3","International Friendly"
"15 Oct 1980","Argentina v Czechoslovakia","W","1-0","International Friendly"
"11 Nov 1981","Argentina v Czechoslovakia","D","1-1","International Friendly"
"09 Mar 1982","Argentina v Czechoslovakia","D","0-0","International Friendly"
"13 Jun 1966","Denmark v Argentina","W","0-2","*"
"24 Feb 1993","Argentina v Denmark","W","1-1","Artemio Franchi Trophy"
"13 Jan 1995","Argentina v Denmark","L","0-2","FIFA Confederations Cup"
"16 Feb 1941","Argentina v Ecuador","W","6-1","Copa America"
"22 Jan 1942","Argentina v Ecuador","W","12-0","Copa America"
"31 Jan 1945","Argentina v Ecuador","W","4-2","Copa America"
"25 Dec 1947","Ecuador v Argentina","W","0-2","Copa America"
"09 Mar 1955","Argentina v Ecuador","W","4-0","Copa America"
"17 Mar 1957","Argentina v Ecuador","W","3-0","Copa America"
"12 Dec 1959","Ecuador v Argentina","D","1-1","Copa America"
"04 Dec 1960","Ecuador v Argentina","W","3-6","FIFA World Cup"
"17 Dec 1960","Argentina v Ecuador","W","5-0","FIFA World Cup"
"20 Mar 1963","Argentina v Ecuador","W","4-2","Copa America"
"10 Aug 1983","Ecuador v Argentina","D","2-2","Copa America"
"07 Sep 1983","Argentina v Ecuador","D","2-2","Copa America"
"02 Jul 1987","Argentina v Ecuador","W","3-0","Copa America"
"13 Apr 1989","Ecuador v Argentina","D","2-2","International Friendly"
"04 Jul 1989","Argentina v Ecuador","D","0-0","Copa America"
"25 May 1994","Ecuador v Argentina","L","1-0","International Friendly"
"02 Jun 1996","Ecuador v Argentina","L","2-0","FIFA World Cup"
"30 Apr 1997","Argentina v Ecuador","W","2-1","FIFA World Cup"
"11 Jun 1997","Ecuador v Argentina","D","0-0","Copa America"
"01 Jul 1999","Argentina v Ecuador","W","3-1","Copa America"
"19 Jul 2000","Argentina v Ecuador","W","2-0","FIFA World Cup"
"14 Aug 2001","Ecuador v Argentina","W","0-2","FIFA World Cup"
"30 Mar 2004","Argentina v Ecuador","W","1-0","FIFA World Cup"
"07 Jul 2004","Argentina v Ecuador","W","6-1","Copa America"
"04 Jun 2005","Ecuador v Argentina","L","2-0","FIFA World Cup"
"15 Jun 2008","Argentina v Ecuador","D","1-1","FIFA World Cup"
"10 Jun 2009","Ecuador v Argentina","L","2-0","FIFA World Cup"
"21 Apr 2011","Argentina v Ecuador","D","2-2","International Friendly"
"02 Jun 2012","Argentina v Ecuador","W","4-0","FIFA World Cup"
"11 Jun 2013","Ecuador v Argentina","D","1-1","FIFA World Cup"
"15 Nov 2013","Ecuador v Argentina","D","0-0","International Friendly"
"31 Mar 2015","Argentina v Ecuador","W","2-1","International Friendly"
"08 Oct 2015","Argentina v Ecuador","L","0-2","FIFA World Cup"
"26 Mar 2008","Egypt v Argentina","W","0-2","International Friendly"
"23 Jun 1982","Argentina v El Salvador","W","2-0","FIFA World Cup"
"28 Mar 2015","El Salvador v Argentina","W","0-2","International Friendly"
"09 May 1951","England v Argentina","L","2-1","International Friendly"
"14 May 1953","Argentina v England","W","3-1","Unofficial"
"17 May 1953","Argentina v England","D","0-0","International Friendly"
"02 Jun 1962","England v Argentina","L","3-1","FIFA World Cup"
"06 Jun 1964","Argentina v England","W","1-0","Copa das Nacoes"
"23 Jul 1966","England v Argentina","L","1-0","FIFA World Cup"
"22 May 1974","England v Argentina","D","2-2","International Friendly"
"12 Jun 1977","Argentina v England","D","1-1","International Friendly"
"13 May 1980","England v Argentina","L","3-1","International Friendly"
"22 Jun 1986","Argentina v England","W","2-1","FIFA World Cup"
"25 May 1991","England v Argentina","D","2-2","England Challenge Cup"
"30 Jun 1998","Argentina v England","W","2-2","FIFA World Cup"
"23 Feb 2000","England v Argentina","D","0-0","International Friendly"
"07 Jun 2002","Argentina v England","L","0-1","FIFA World Cup"
"12 Nov 2005","Argentina v England","L","2-3","International Friendly"
"15 Jul 1930","France v Argentina","W","0-1","FIFA World Cup"
"03 Jun 1965","France v Argentina","D","0-0","International Friendly"
"08 Jan 1971","Argentina v France","L","3-4","International Friendly"
"12 Jan 1971","Argentina v France","W","2-0","International Friendly"
"25 Jun 1972","Argentina v France","D","0-0","Independence"
"18 May 1974","France v Argentina","W","0-1","International Friendly"
"26 Jun 1977","Argentina v France","D","0-0","International Friendly"
"06 Jun 1978","Argentina v France","W","2-1","FIFA World Cup"
"26 Mar 1986","France v Argentina","L","2-0","International Friendly"
"07 Feb 2007","France v Argentina","W","0-1","International Friendly"
"11 Feb 2009","France v Argentina","W","0-2","International Friendly"
"08 Jun 1958","West Germany v Argentina","L","3-1","FIFA World Cup"
"16 Jul 1966","Argentina v Germany","D","0-0","FIFA World Cup"
"14 Feb 1973","West Germany v Argentina","W","2-3","International Friendly"
"05 Jun 1977","Argentina v West Germany","L","1-3","International Friendly"
"12 Sep 1979","West Germany v Argentina","L","2-1","International Friendly"
"01 Jan 1981","Argentina v West Germany","W","2-1","Gold Cup"
"24 Mar 1982","Argentina v West Germany","D","1-1","International Friendly"
"12 Sep 1984","West Germany v Argentina","W","1-3","International Friendly"
"29 Jun 1986","Argentina v West Germany","W","3-2","FIFA World Cup"
"16 Dec 1987","Argentina v West Germany","W","1-0","International Friendly"
"02 Apr 1988","West Germany v Argentina","L","1-0","Four Nations Tournament, Berlin"
"08 Jul 1990","Germany v Argentina","L","1-0","FIFA World Cup"
"15 Dec 1993","Argentina v Germany","W","2-1","International Friendly"
"17 Apr 2002","Germany v Argentina","W","0-1","International Friendly"
"09 Feb 2005","Germany v Argentina","D","2-2","International Friendly"
"21 Jun 2005","Germany v Argentina","D","2-2","FIFA Confederations Cup"
"30 Jun 2006","Germany v Argentina","L","1-1","FIFA World Cup"
"03 Mar 2010","Germany v Argentina","W","0-1","International Friendly"
"03 Jul 2010","Argentina v Germany","L","0-4","FIFA World Cup"
"15 Aug 2012","Germany v Argentina","W","1-3","International Friendly"
"13 Jul 2014","Germany v Argentina","L","1-0","FIFA World Cup"
"03 Sep 2014","Germany v Argentina","W","2-4","International Friendly"
"30 Sep 2009","Argentina v Ghana","W","2-0","International Friendly"
"21 Jun 1994","Argentina v Greece","W","4-0","FIFA World Cup"
"22 Jun 2010","Greece v Argentina","W","0-2","FIFA World Cup"
"14 Jan 1990","Guatemala v Argentina","D","0-0","International Friendly"
"06 Feb 2008","Argentina v Guatemala","W","5-0","International Friendly"
"14 Jun 2013","Guatemala v Argentina","W","0-4","International Friendly"
"23 Jun 1974","Argentina v Haiti","W","4-1","FIFA World Cup"
"05 May 2010","Argentina v Haiti","W","4-0","International Friendly"
"31 Jan 2003","Honduras v Argentina","W","1-3","International Friendly"
"27 May 2016","Argentina v Honduras","W","1-0","International Friendly"
"14 Oct 2014","Hong Kong v Argentina","W","0-7","International Friendly"
"06 Jun 1962","Argentina v Hungary","D","0-0","FIFA World Cup"
"27 Mar 1976","Hungary v Argentina","L","2-0","International Friendly"
"27 Feb 1977","Argentina v Hungary","W","5-1","International Friendly"
"02 Jun 1978","Argentina v Hungary","W","2-1","FIFA World Cup"
"18 Jun 1982","Argentina v Hungary","W","4-1","FIFA World Cup"
"23 Jan 1984","Argentina v Hungary","W","3-0","Nehru Cup"
"20 Feb 1991","Argentina v Hungary","W","2-0","International Friendly"
"17 Aug 2005","Hungary v Argentina","W","1-2","International Friendly"
"22 Mar 1977","Argentina v Iran","W","1-1","75th Anniversary Real"
"21 Jun 2014","Argentina v Iran","W","1-0","FIFA World Cup"
"05 Aug 1969","Israel v Argentina","L","1-0","Maccbah Games"
"20 Feb 1973","Israel v Argentina","D","1-1","International Friendly"
"04 May 1986","Israel v Argentina","W","2-7","International Friendly"
"22 May 1990","Israel v Argentina","W","1-2","International Friendly"
"31 May 1994","Israel v Argentina","W","0-3","International Friendly"
"15 Apr 1998","Israel v Argentina","L","2-1","International Friendly"
"05 Dec 1954","Italy v Argentina","L","2-0","International Friendly"
"24 Jun 1956","Argentina v Italy","W","1-0","International Friendly"
"15 Jun 1961","Italy v Argentina","L","4-1","International Friendly"
"22 Jun 1966","Italy v Argentina","L","3-0","International Friendly"
"19 Jun 1974","Argentina v Italy","D","1-1","FIFA World Cup"
"10 Jun 1978","Argentina v Italy","L","0-1","FIFA World Cup"
"26 May 1979","Italy v Argentina","D","2-2","International Friendly"
"29 Jun 1982","Italy v Argentina","L","2-1","FIFA World Cup"
"05 Jun 1986","Italy v Argentina","D","1-1","FIFA World Cup"
"10 Jun 1987","Italy v Argentina","L","3-1","FIFA 90 World Cup"
"21 Dec 1989","Italy v Argentina","D","0-0","International Friendly"
"03 Jul 1990","Italy v Argentina","W","1-1","FIFA World Cup"
"28 Feb 2001","Italy v Argentina","W","1-2","International Friendly"
"14 Aug 2013","Italy v Argentina","W","1-2","International Friendly"
"16 Oct 1992","Argentina v Ivory Coast","W","4-0","FIFA Confederations Cup"
"10 Jun 2006","Argentina v Ivory Coast","W","2-1","FIFA World Cup"
"21 Jun 1998","Argentina v Jamaica","W","5-0","FIFA World Cup"
"10 Feb 2010","Argentina v Jamaica","W","2-1","International Friendly"
"20 Jun 2015","Argentina v Jamaica","W","1-0","Copa America"
"31 May 1992","Japan v Argentina","W","0-1","Kirin Japan Cup"
"08 Jan 1995","Argentina v Japan","W","5-1","FIFA Confederations Cup"
"14 Jun 1998","Argentina v Japan","W","1-0","FIFA World Cup"
"20 Nov 2002","Japan v Argentina","W","0-2","International Friendly"
"08 Jun 2003","Japan v Argentina","W","1-4","Kirin Cup"
"18 Aug 2004","Japan v Argentina","W","1-2","International Friendly"
"08 Oct 2010","Japan v Argentina","L","1-0","International Friendly"
"25 Aug 1984","Korea Republic v Argentina","L","4-0","Merdeka Tournament"
"02 Jun 1986","Argentina v Korea Republic","W","3-1","FIFA World Cup"
"11 Jun 2003","Korea Republic v Argentina","W","0-1","International Friendly"
"17 Jun 2010","Argentina v Korea Republic","W","4-1","FIFA World Cup"
"20 Jun 1999","Argentina v Lithuania","D","0-0","International Friendly"
"19 Jul 1930","Argentina v Mexico","W","6-3","FIFA World Cup"
"13 Mar 1956","Mexico v Argentina","D","0-0","Panamerican Championship"
"22 Mar 1956","Mexico v Argentina","D","3-3","Panamerican Championship"
"10 Mar 1960","Argentina v Mexico","W","3-2","Panamerican Championship"
"17 Mar 1960","Argentina v Mexico","W","2-0","Panamerican Championship"
"28 Mar 1962","Argentina v Mexico","W","1-0","International Friendly"
"22 Aug 1967","Mexico v Argentina","L","2-1","International Friendly"
"06 Feb 1973","Mexico v Argentina","L","2-0","International Friendly"
"31 Aug 1975","Mexico v Argentina","D","1-1","Copa de Mexico"
"18 Sep 1984","Mexico v Argentina","D","1-1","International Friendly"
"25 Oct 1984","Argentina v Mexico","D","1-1","International Friendly"
"14 Nov 1985","Argentina v Mexico","D","1-1","International Friendly"
"17 Nov 1985","Mexico v Argentina","D","1-1","International Friendly"
"31 Jul 1987","Mexico v Argentina","D","1-1","International Friendly"
"02 Aug 1987","Mexico v Argentina","D","1-1","International Friendly"
"17 Jan 1990","Mexico v Argentina","L","2-0","International Friendly"
"17 Feb 1990","Mexico v Argentina","L","2-0","International Friendly"
"13 Mar 1991","Argentina v Mexico","D","0-0","International Friendly"
"20 Jun 1993","Argentina v Mexico","D","1-1","Copa America"
"04 Jul 1993","Argentina v Mexico","W","2-1","Copa America"
"10 Feb 1999","Argentina v Mexico","W","1-0","International Friendly"
"09 Jun 1999","Mexico v Argentina","D","2-2","International Friendly"
"20 Dec 2000","Argentina v Mexico","W","2-0","International Friendly"
"04 Feb 2003","Mexico v Argentina","W","0-1","International Friendly"
"10 Jul 2004","Argentina v Mexico","L","0-1","Copa America"
"09 Mar 2005","Mexico v Argentina","D","1-1","International Friendly"
"26 Jun 2005","Mexico v Argentina","W","1-1","FIFA Confederations Cup"
