Date,Match,Result,Score,Competition
1998-03-10,Argentina v Bulgaria,W,2-0,International Friendly
1990-06-08,Argentina v Cameroon,L,0-1,FIFA World Cup
2002-03-27,Cameroon v Argentina,D,2-2,International Friendly
2010-05-24,Argentina v Canada,W,5-0,International Friendly
1984-01-20,China PR v Argentina,L,1-0,Nehru Cup
1945-02-07,Argentina v Colombia,W,9-1,Copa America
1947-12-18,Argentina v Colombia,W,6-0,Copa America
1957-03-13,Argentina v Colombia,W,8-2,Copa America
1963-03-10,Argentina v Colombia,W,4-2,Copa America
1972-06-22,Argentina v Colombia,W,4-1,Independence
1984-08-24,Colombia v Argentina,L,1-0,International Friendly
1985-06-02,Colombia v Argentina,W,1-3,FIFA World Cup
1985-06-16,Argentina v Colombia,W,1-0,FIFA World Cup
1986-11-24,Argentina v Colombia,W,3-1,South American Games
1986-12-06,Argentina v Colombia,W,2-0,South American Games
1987-07-11,Argentina v Colombia,L,1-2,Copa America
1989-03-09,Colombia v Argentina,L,1-0,International Friendly
1991-07-21,Argentina v Colombia,W,2-1,Copa America
1993-06-23,Argentina v Colombia,D,1-1,Copa America
1993-07-01,Argentina v Colombia,W,0-0,Copa America
1993-08-15,Colombia v Argentina,L,2-1,FIFA World Cup
1993-09-05,Argentina v Colombia,L,0-5,FIFA World Cup
1995-10-11,Argentina v Colombia,D,0-0,International Friendly
1997-02-12,Colombia v Argentina,W,0-1,FIFA World Cup
1997-11-16,Argentina v Colombia,D,1-1,FIFA World Cup
1999-07-04,Argentina v Colombia,L,0-3,Copa America
1999-10-13,Argentina v Colombia,W,2-1,International Friendly
2000-06-29,Colombia v Argentina,W,1-3,FIFA World Cup
2001-06-03,Argentina v Colombia,W,3-0,FIFA World Cup
2003-11-18,Colombia v Argentina,D,1-1,FIFA World Cup
2004-06-27,Argentina v Colombia,L,0-2,International Friendly
2004-07-20,Argentina v Colombia,W,3-0,Copa America
2005-03-30,Argentina v Colombia,W,1-0,FIFA World Cup
2007-07-02,Argentina v Colombia,W,4-2,Copa America
2007-11-20,Colombia v Argentina,L,2-1,FIFA World Cup
2009-06-06,Argentina v Colombia,W,1-0,FIFA World Cup
2011-07-06,Argentina v Colombia,D,0-0,Copa America
2011-11-15,Colombia v Argentina,W,1-2,FIFA World Cup
2013-06-07,Argentina v Colombia,D,0-0,FIFA World Cup
2015-06-26,Argentina v Colombia,W,0-0,Copa America
2015-11-17,Colombia v Argentina,W,0-1,FIFA World Cup
1956-03-06,Argentina v Costa Rica,W,4-3,Panamerican Championship
1960-03-08,Argentina v Costa Rica,D,0-0,Panamerican Championship
1960-03-15,Argentina v Costa Rica,W,2-0,Panamerican Championship
2010-01-26,Argentina v Costa Rica,W,3-2,International Friendly
2011-03-29,Costa Rica v Argentina,D,0-0,International Friendly
2011-07-11,Argentina v Costa Rica,W,3-0,Copa America
1956-08-19,Argentina v Czech Republic,W,1-0,International Friendly
1958-06-15,Czech Republic v Argentina,L,6-1,FIFA World Cup
1961-06-19,Czech Republic v Argentina,D,3-3,International Friendly
1980-10-15,Argentina v Czech Republic,W,1-0,International Friendly
1981-11-11,Argentina v Czech Republic,D,1-1,International Friendly
1982-03-09,Argentina v Czech Republic,D,0-0,International Friendly
1966-06-13,Denmark v Argentina,W,0-2,*
1993-02-24,Argentina v Denmark,W,1-1,Artemio Franchi Trophy
1995-01-13,Argentina v Denmark,L,0-2,FIFA Confederations Cup
1941-02-16,Argentina v Ecuador,W,6-1,Copa America
1942-01-22,Argentina v Ecuador,W,12-0,Copa America
1945-01-31,Argentina v Ecuador,W,4-2,Copa America
1947-12-25,Ecuador v Argentina,W,0-2,Copa America
1955-03-09,Argentina v Ecuador,W,4-0,Copa America
1957-03-17,Argentina v Ecuador,W,3-0,Copa America
1959-12-12,Ecuador v Argentina,D,1-1,Copa America
1960-12-04,Ecuador v Argentina,W,3-6,FIFA World Cup
1960-12-17,Argentina v Ecuador,W,5-0,FIFA World Cup
1963-03-20,Argentina v Ecuador,W,4-2,Copa America
1983-08-10,Ecuador v Argentina,D,2-2,Copa America
1983-09-07,Argentina v Ecuador,D,2-2,Copa America
1987-07-02,Argentina v Ecuador,W,3-0,Copa America
1989-04-13,Ecuador v Argentina,D,2-2,International Friendly
1989-07-04,Argentina v Ecuador,D,0-0,Copa America
1994-05-25,Ecuador v Argentina,L,1-0,International Friendly
1996-06-02,Ecuador v Argentina,L,2-0,FIFA World Cup
1997-04-30,Argentina v Ecuador,W,2-1,FIFA World Cup
1997-06-11,Ecuador v Argentina,D,0-0,Copa America
1999-07-01,Argentina v Ecuador,W,3-1,Copa America
2000-07-19,Argentina v Ecuador,W,2-0,FIFA World Cup
2001-08-14,Ecuador v Argentina,W,0-2,FIFA World Cup
2004-03-30,Argentina v Ecuador,W,1-0,FIFA World Cup
2004-07-07,Argentina v Ecuador,W,6-1,Copa America
2005-06-04,Ecuador v Argentina,L,2-0,FIFA World Cup
2008-06-15,Argentina v Ecuador,D,1-1,FIFA World Cup
2009-06-10,Ecuador v Argentina,L,2-0,FIFA World Cup
2011-04-21,Argentina v Ecuador,D,2-2,International Friendly
2012-06-02,Argentina v Ecuador,W,4-0,FIFA World Cup
2013-06-11,Ecuador v Argentina,D,1-1,FIFA World Cup
2013-11-15,Ecuador v Argentina,D,0-0,International Friendly
2015-03-31,Argentina v Ecuador,W,2-1,International Friendly
2015-10-08,Argentina v Ecuador,L,0-2,FIFA World Cup
2008-03-26,Egypt v Argentina,W,0-2,International Friendly
1982-06-23,Argentina v El Salvador,W,2-0,FIFA World Cup
2015-03-28,El Salvador v Argentina,W,0-2,International Friendly
1951-05-09,England v Argentina,L,2-1,International Friendly
1953-05-14,Argentina v England,W,3-1,Unofficial
1953-05-17,Argentina v England,D,0-0,International Friendly
1962-06-02,England v Argentina,L,3-1,FIFA World Cup
1964-06-06,Argentina v England,W,1-0,Copa das Nacoes
1966-07-23,England v Argentina,L,1-0,FIFA World Cup
1974-05-22,England v Argentina,D,2-2,International Friendly
1977-06-12,Argentina v England,D,1-1,International Friendly
1980-05-13,England v Argentina,L,3-1,International Friendly
1986-06-22,Argentina v England,W,2-1,FIFA World Cup
1991-05-25,England v Argentina,D,2-2,England Challenge Cup
1998-06-30,Argentina v England,W,2-2,FIFA World Cup
2000-02-23,England v Argentina,D,0-0,International Friendly
2002-06-07,Argentina v England,L,0-1,FIFA World Cup
2005-11-12,Argentina v England,L,2-3,International Friendly
1930-07-15,France v Argentina,W,0-1,FIFA World Cup
1965-06-03,France v Argentina,D,0-0,International Friendly
1971-01-08,Argentina v France,L,3-4,International Friendly
1971-01-12,Argentina v France,W,2-0,International Friendly
1972-06-25,Argentina v France,D,0-0,Independence
1974-05-18,France v Argentina,W,0-1,International Friendly
1977-06-26,Argentina v France,D,0-0,International Friendly
1978-06-06,Argentina v France,W,2-1,FIFA World Cup
1986-03-26,France v Argentina,L,2-0,International Friendly
2007-02-07,France v Argentina,W,0-1,International Friendly
2009-02-11,France v Argentina,W,0-2,International Friendly
1958-06-08,Germany v Argentina,L,3-1,FIFA World Cup
1966-07-16,Argentina v Germany,D,0-0,FIFA World Cup
1973-02-14,Germany v Argentina,W,2-3,International Friendly
1977-06-05,Argentina v Germany,L,1-3,International Friendly
1979-09-12,Germany v Argentina,L,2-1,International Friendly
1981-01-01,Argentina v Germany,W,2-1,Gold Cup
1982-03-24,Argentina v Germany,D,1-1,International Friendly
1984-09-12,Germany v Argentina,W,1-3,International Friendly
1986-06-29,Argentina v Germany,W,3-2,FIFA World Cup
1987-12-16,Argentina v Germany,W,1-0,International Friendly
1988-04-02,Germany v Argentina,L,1-0,"Four Nations Tournament, Berlin"
1990-07-08,Germany v Argentina,L,1-0,FIFA World Cup
1993-12-15,Argentina v Germany,W,2-1,International Friendly
2002-04-17,Germany v Argentina,W,0-1,International Friendly
2005-02-09,Germany v Argentina,D,2-2,International Friendly
2005-06-21,Germany v Argentina,D,2-2,FIFA Confederations Cup
2006-06-30,Germany v Argentina,L,1-1,FIFA World Cup
2010-07-03,Argentina v Germany,L,0-4,FIFA World Cup
2012-08-15,Germany v Argentina,W,1-3,International Friendly
2014-07-13,Germany v Argentina,L,1-0,FIFA World Cup
2014-09-03,Germany v Argentina,W,2-4,International Friendly
2009-09-30,Argentina v Ghana,W,2-0,International Friendly
1994-06-21,Argentina v Greece,W,4-0,FIFA World Cup
2010-06-22,Greece v Argentina,W,0-2,FIFA World Cup
1990-01-14,Guatemala v Argentina,D,0-0,International Friendly
2008-02-06,Argentina v Guatemala,W,5-0,International Friendly
2013-06-14,Guatemala v Argentina,W,0-4,International Friendly
1974-06-23,Argentina v Haiti,W,4-1,FIFA World Cup
2010-05-05,Argentina v Haiti,W,4-0,International Friendly
2003-01-31,Honduras v Argentina,W,1-3,International Friendly
2016-05-27,Argentina v Honduras,W,1-0,International Friendly
2014-10-14,Hong Kong v Argentina,W,0-7,International Friendly
1962-06-06,Argentina v Hungary,D,0-0,FIFA World Cup
1976-03-27,Hungary v Argentina,L,2-0,International Friendly
1977-02-27,Argentina v Hungary,W,5-1,International Friendly
1978-06-02,Argentina v Hungary,W,2-1,FIFA World Cup
1982-06-18,Argentina v Hungary,W,4-1,FIFA World Cup
1984-01-23,Argentina v Hungary,W,3-0,Nehru Cup
1991-02-20,Argentina v Hungary,W,2-0,International Friendly
2005-08-17,Hungary v Argentina,W,1-2,International Friendly
1977-03-22,Argentina v Iran,W,1-1,75th Anniversary Real
2014-06-21,Argentina v Iran,W,1-0,FIFA World Cup
1969-08-05,Israel v Argentina,L,1-0,Maccbah Games
1973-02-20,Israel v Argentina,D,1-1,International Friendly
1986-05-04,Israel v Argentina,W,2-7,International Friendly
1990-05-22,Israel v Argentina,W,1-2,International Friendly
1994-05-31,Israel v Argentina,W,0-3,International Friendly
1998-04-15,Israel v Argentina,L,2-1,International Friendly
1954-12-05,Italy v Argentina,L,2-0,International Friendly
1956-06-24,Argentina v Italy,W,1-0,International Friendly
1961-06-15,Italy v Argentina,L,4-1,International Friendly
1966-06-22,Italy v Argentina,L,3-0,International Friendly
1974-06-19,Argentina v Italy,D,1-1,FIFA World Cup
1978-06-10,Argentina v Italy,L,0-1,FIFA World Cup
1979-05-26,Italy v Argentina,D,2-2,International Friendly
1982-06-29,Italy v Argentina,L,2-1,FIFA World Cup
1986-06-05,Italy v Argentina,D,1-1,FIFA World Cup
1987-06-10,Italy v Argentina,L,3-1,FIFA 90 World Cup
1989-12-21,Italy v Argentina,D,0-0,International Friendly
1990-07-03,Italy v Argentina,W,1-1,FIFA World Cup
2001-02-28,Italy v Argentina,W,1-2,International Friendly
2013-08-14,Italy v Argentina,W,1-2,International Friendly
1992-10-16,Argentina v Ivory Coast,W,4-0,FIFA Confederations Cup
2006-06-10,Argentina v Ivory Coast,W,2-1,FIFA World Cup
1998-06-21,Argentina v Jamaica,W,5-0,FIFA World Cup
2010-02-10,Argentina v Jamaica,W,2-1,International Friendly
2015-06-20,Argentina v Jamaica,W,1-0,Copa America
1992-05-31,Japan v Argentina,W,0-1,Kirin Japan Cup
1998-06-14,Argentina v Japan,W,1-0,FIFA World Cup
2002-11-20,Japan v Argentina,W,0-2,International Friendly
2003-06-08,Japan v Argentina,W,1-4,Kirin Cup
2004-08-18,Japan v Argentina,W,1-2,International Friendly
2010-10-08,Japan v Argentina,L,1-0,International Friendly
1984-08-25,Korea Republic v Argentina,L,4-0,Merdeka Tournament
1986-06-02,Argentina v Korea Republic,W,3-1,FIFA World Cup
2003-06-11,Korea Republic v Argentina,W,0-1,International Friendly
2010-06-17,Argentina v Korea Republic,W,4-1,FIFA World Cup
1999-06-20,Argentina v Lithuania,D,0-0,International Friendly
1930-07-19,Argentina v Mexico,W,6-3,FIFA World Cup
1956-03-13,Mexico v Argentina,D,0-0,Panamerican Championship
1956-03-22,Mexico v Argentina,D,3-3,Panamerican Championship
1960-03-10,Argentina v Mexico,W,3-2,Panamerican Championship
1960-03-17,Argentina v Mexico,W,2-0,Panamerican Championship
1962-03-28,Argentina v Mexico,W,1-0,International Friendly
1967-08-22,Mexico v Argentina,L,2-1,International Friendly
1973-02-06,Mexico v Argentina,L,2-0,International Friendly
1975-08-31,Mexico v Argentina,D,1-1,Copa de Mexico
1984-09-18,Mexico v Argentina,D,1-1,International Friendly
1984-10-25,Argentina v Mexico,D,1-1,International Friendly
1985-11-14,Argentina v Mexico,D,1-1,International Friendly
1985-11-17,Mexico v Argentina,D,1-1,International Friendly
1987-07-31,Mexico v Argentina,D,1-1,International Friendly
1987-08-02,Mexico v Argentina,D,1-1,International Friendly
1990-01-17,Mexico v Argentina,L,2-0,International Friendly
1990-02-17,Mexico v Argentina,L,2-0,International Friendly
1991-03-13,Argentina v Mexico,D,0-0,International Friendly
1993-06-20,Argentina v Mexico,D,1-1,Copa America
1993-07-04,Argentina v Mexico,W,2-1,Copa America
1999-02-10,Argentina v Mexico,W,1-0,International Friendly
1999-06-09,Mexico v Argentina,D,2-2,International Friendly
2000-12-20,Argentina v Mexico,W,2-0,International Friendly
2003-02-04,Mexico v Argentina,W,0-1,International Friendly
2004-07-10,Argentina v Mexico,L,0-1,Copa America
2005-03-09,Mexico v Argentina,D,1-1,International Friendly
2005-06-26,Mexico v Argentina,W,1-1,FIFA Confederations Cup
2006-06-24,Argentina v Mexico,W,2-1,FIFA World Cup
2007-07-11,Argentina v Mexico,W,3-0,Copa America
2008-06-04,Mexico v Argentina,W,1-4,International Friendly
2010-06-27,Argentina v Mexico,W,3-1,FIFA World Cup
2015-09-08,Argentina v Mexico,D,2-2,International Friendly
1994-04-20,Argentina v Morocco,W,3-1,International Friendly
1974-05-26,Netherlands v Argentina,L,4-1,International Friendly
1974-06-26,Argentina v Netherlands,L,0-4,FIFA World Cup
1978-06-25,Argentina v Netherlands,W,3-1,FIFA World Cup
1979-05-22,Argentina v Netherlands,W,0-0,WC Anniversary
1998-07-04,Argentina v Netherlands,L,1-2,FIFA World Cup
1999-03-31,Netherlands v Argentina,D,1-1,International Friendly
2006-06-21,Netherlands v Argentina,D,0-0,FIFA World Cup
2014-07-09,Argentina v Netherlands,W,0-0,FIFA World Cup
1958-06-11,Argentina v Northern Ireland,W,3-1,FIFA World Cup
2009-05-20,Argentina v Panama,W,3-1,International Friendly
2016-06-10,Argentina v Panama,W,5-0,Copa America
1919-05-11,Paraguay v Argentina,W,1-5,International Friendly
1919-05-15,Paraguay v Argentina,W,0-3,International Friendly
1919-05-21,Paraguay v Argentina,W,1-2,International Friendly
1919-05-24,Paraguay v Argentina,W,1-2,International Friendly
1921-04-07,Paraguay v Argentina,L,3-1,International Friendly
1921-04-14,Paraguay v Argentina,D,2-2,International Friendly
1921-10-16,Argentina v Paraguay,W,3-0,Copa America
1922-10-18,Argentina v Paraguay,W,2-0,Copa America
1923-05-20,Argentina v Paraguay,L,1-2,Copa Chevallier Boutell
1923-05-25,Argentina v Paraguay,W,1-0,Copa Rosa Cheva
1923-10-29,Argentina v Paraguay,W,4-3,Copa America
1924-05-15,Paraguay v Argentina,W,1-3,Copa Chevallier Boutell
1924-05-18,Paraguay v Argentina,L,2-1,Copa Chevallier Boutell
1924-10-12,Paraguay v Argentina,D,0-0,Copa America
1925-07-09,Argentina v Paraguay,D,1-1,Copa Chevallier Boutell
1925-07-12,Argentina v Paraguay,D,1-1,Copa Chevallier Boutell
1925-11-29,Argentina v Paraguay,W,2-0,Copa America
1925-12-20,Argentina v Paraguay,W,3-1,Copa America
1926-05-29,Argentina v Paraguay,W,2-1,Copa Chevallier Boutell
1926-06-03,Argentina v Paraguay,W,2-1,Copa Chevallier Boutell
1926-10-20,Argentina v Paraguay,W,8-0,Copa America
1929-11-10,Argentina v Paraguay,W,4-1,Copa America
1931-04-19,Paraguay v Argentina,D,1-1,International Friendly
1931-07-04,Argentina v Paraguay,D,1-1,Copa Rosa Cheva
1931-07-09,Argentina v Paraguay,W,3-1,Copa Rosa Cheva
1931-09-18,Paraguay v Argentina,W,0-1,International Friendly
1931-09-22,Paraguay v Argentina,W,1-5,International Friendly
1931-09-25,Paraguay v Argentina,D,1-1,International Friendly
1937-01-09,Argentina v Paraguay,W,6-1,Copa America
1939-08-13,Paraguay v Argentina,W,0-1,Copa Rosa Cheva
1939-08-15,Paraguay v Argentina,D,2-2,Copa Rosa Cheva
1942-01-11,Argentina v Paraguay,W,4-3,Copa America
1943-07-10,Paraguay v Argentina,W,2-5,Copa Rosa Cheva
1943-07-11,Paraguay v Argentina,L,2-1,Copa Chevallier Boutell
1945-01-06,Argentina v Paraguay,W,5-2,Copa Chevallier Boutell
1945-01-09,Argentina v Paraguay,W,5-3,Copa Rosa Cheva
1945-07-07,Paraguay v Argentina,L,5-1,Copa Rosa Cheva
1945-07-09,Paraguay v Argentina,W,1-3,Copa Rosa Cheva
1946-01-12,Argentina v Paraguay,W,2-0,Copa America
1947-12-02,Argentina v Paraguay,W,6-0,Copa America
1950-03-25,Argentina v Paraguay,D,2-2,Copa Rosa Cheva
1950-03-29,Argentina v Paraguay,W,4-0,Copa Rosa Cheva
1955-03-03,Argentina v Paraguay,W,5-3,Copa America
1956-02-01,Paraguay v Argentina,W,0-1,Copa America
1956-08-15,Paraguay v Argentina,W,0-1,Rosa Chevallier
1958-04-20,Paraguay v Argentina,L,1-0,International Friendly
1958-04-26,Argentina v Paraguay,W,2-0,International Friendly
1959-03-22,Argentina v Paraguay,W,3-1,Copa America
1959-12-09,Argentina v Paraguay,W,4-2,Copa America
1960-07-09,Argentina v Paraguay,W,1-0,Copa del Atlantico
1961-05-17,Paraguay v Argentina,D,0-0,International Friendly
1961-10-12,Argentina v Paraguay,W,5-1,International Friendly
1963-03-31,Argentina v Paraguay,D,1-1,Copa America
1963-10-15,Paraguay v Argentina,W,0-4,Rosa Chevallier
1963-10-29,Argentina v Paraguay,L,2-3,Rosa Chevallier
1964-11-25,Paraguay v Argentina,L,3-0,Rosa Chevallier
1964-12-08,Argentina v Paraguay,W,8-1,Rosa Chevallier
1965-08-01,Argentina v Paraguay,W,3-0,FIFA World Cup
1965-08-08,Paraguay v Argentina,D,0-0,FIFA World Cup
1967-01-18,Argentina v Paraguay,W,4-1,Copa America
1967-10-13,Paraguay v Argentina,D,1-1,International Friendly
1968-05-15,Paraguay v Argentina,L,2-0,Copa Rosa Cheva
1968-06-06,Argentina v Paraguay,W,2-0,International Friendly
1969-03-19,Argentina v Paraguay,D,1-1,International Friendly
1969-04-04,Paraguay v Argentina,D,0-0,International Friendly
1970-10-22,Paraguay v Argentina,D,1-1,Homage to Arsenio
1971-07-04,Paraguay v Argentina,D,1-1,Copa Rosa Cheva
1971-07-09,Argentina v Paraguay,W,1-0,International Friendly
1971-07-11,Argentina v Paraguay,W,1-0,Copa Rosa Cheva
1972-05-25,Paraguay v Argentina,D,0-0,International Friendly
1973-09-16,Paraguay v Argentina,D,1-1,FIFA World Cup
1973-10-07,Argentina v Paraguay,W,3-1,FIFA World Cup
1976-02-26,Paraguay v Argentina,W,2-3,Copa del Atlantico
1976-04-28,Argentina v Paraguay,D,2-2,Copa del Atlantico
1977-08-24,Argentina v Paraguay,W,2-1,Jose Felix Bogado
1977-08-31,Paraguay v Argentina,L,2-0,Jose Felix Bogado
1983-07-15,Paraguay v Argentina,L,1-0,Rosa Chevallier
1983-07-21,Argentina v Paraguay,D,0-0,Rosa Chevallier
1985-04-28,Paraguay v Argentina,L,1-0,Rosa Chevallier
1985-05-09,Argentina v Paraguay,D,1-1,Rosa Chevallier
1987-06-20,Argentina v Paraguay,L,0-1,International Friendly
1989-07-16,Argentina v Paraguay,D,0-0,Copa America
1991-07-12,Argentina v Paraguay,W,4-1,Copa America
1993-08-08,Paraguay v Argentina,W,1-3,FIFA World Cup
1993-08-29,Argentina v Paraguay,D,0-0,FIFA World Cup
1995-03-02,Argentina v Paraguay,W,3-0,Copa Mercosur
1995-06-14,Argentina v Paraguay,W,2-1,International Friendly
1996-09-01,Argentina v Paraguay,D,1-1,FIFA World Cup
1997-06-17,Argentina v Paraguay,D,1-1,Copa America
1997-07-06,Paraguay v Argentina,W,1-2,FIFA World Cup
2000-08-16,Argentina v Paraguay,D,1-1,FIFA World Cup
2004-06-06,Argentina v Paraguay,D,0-0,FIFA World Cup
2005-09-03,Paraguay v Argentina,L,1-0,FIFA World Cup
2007-07-05,Argentina v Paraguay,W,1-0,Copa America
2008-09-06,Argentina v Paraguay,D,1-1,FIFA World Cup
2009-09-09,Paraguay v Argentina,L,1-0,FIFA World Cup
2011-05-25,Argentina v Paraguay,W,4-2,International Friendly
2012-09-07,Argentina v Paraguay,W,3-1,FIFA World Cup
2013-09-10,Paraguay v Argentina,W,2-5,FIFA World Cup
2015-06-13,Argentina v Paraguay,D,2-2,Copa America
2015-06-30,Argentina v Paraguay,W,6-1,Copa America
2015-10-13,Paraguay v Argentina,D,0-0,FIFA World Cup
2016-10-11,Argentina v Paraguay,L,0-1,FIFA World Cup
1927-11-27,Peru v Argentina,W,1-5,Copa America
1929-11-03,Argentina v Peru,W,3-0,Copa America
1935-01-20,Peru v Argentina,W,1-4,Copa America
1937-01-16,Argentina v Peru,W,1-0,Copa America
1941-01-19,Peru v Argentina,D,1-1,Copa Roque Saenz Pena
1941-01-26,Peru v Argentina,D,1-1,Copa Roque Saenz Pena
1941-01-29,Peru v Argentina,W,0-3,Copa Roque Saenz Pena
1941-02-12,Argentina v Peru,W,2-1,Copa America
1942-01-25,Argentina v Peru,W,3-1,Copa America
1947-12-11,Argentina v Peru,W,3-2,Copa America
1955-03-16,Argentina v Peru,D,2-2,Copa America
1956-01-22,Argentina v Peru,W,2-1,Copa America
1956-02-28,Peru v Argentina,D,0-0,Panamerican Championship
1957-04-06,Peru v Argentina,L,2-1,Copa America
1957-04-09,Peru v Argentina,W,1-4,International Friendly
1959-03-18,Argentina v Peru,W,3-1,Copa America
1963-03-13,Argentina v Peru,L,1-2,Copa America
1968-08-29,Peru v Argentina,D,2-2,International Friendly
1968-09-01,Peru v Argentina,D,1-1,International Friendly
1969-08-03,Peru v Argentina,L,1-0,FIFA World Cup
1969-08-31,Argentina v Peru,D,2-2,FIFA World Cup
1972-10-25,Peru v Argentina,W,0-2,International Friendly
1972-12-31,Peru v Argentina,W,0-2,*
1973-07-27,Argentina v Peru,W,3-1,Roman Castilla
1976-10-28,Peru v Argentina,W,1-3,International Friendly
